,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
132,5815530836,Evening Ride,2021-08-18T18:18:44Z,Ride,24840.6,2894,3026,74.0,"[38.907825, -77.083673]",2021-08-18-221843-ELEMNT BOLT 7531-238-0.fit,173.1,208,511,79.0,57.0,8.583,13.9,27
133,5809972371,Evening Ride,2021-08-17T18:33:33Z,Ride,29975.6,3466,3547,62.0,"[38.907966, -77.083831]",2021-08-17-223333-ELEMNT BOLT 7531-237-0.fit,173.1,211,519,77.5,77.0,8.648,12.8,26
134,5804989035,Evening Run,2021-08-16T18:51:34Z,Run,5496.2,1535,1535,80.7,"[38.90789, -77.084153]",garmin_push_7317894203,0,0,0,78.3,53.0,3.581,4.8,0
135,5799884328,Evening Ride,2021-08-15T18:43:16Z,Ride,31115.3,4132,4319,107.0,"[38.907898, -77.083746]",2021-08-15-224315-ELEMNT BOLT 7531-236-0.fit,142.4,179,558,71.4,14.0,7.53,13.7,25
136,5791978466,Morning Ride,2021-08-14T07:25:44Z,Ride,103719.0,10819,14233,996.0,"[38.907946, -77.083959]",2021-08-14-112543-ELEMNT BOLT 7531-235-0.fit,165.9,207,899,79.5,169.0,9.587,19.8,25
137,5787885808,Afternoon Ride,2021-08-13T16:19:27Z,Ride,28967.7,3787,4097,304.0,"[38.908581, -77.08445]",2021-08-13-201927-ELEMNT BOLT 7531-234-0.fit,156.9,186,516,73.1,25.0,7.649,13.9,29
138,5783828770,Afternoon Ride,2021-08-12T17:37:22Z,Ride,40831.2,4641,7930,73.0,"[38.908562, -77.08422]",2021-08-12-213721-ELEMNT BOLT 7531-233-0.fit,154.6,194,980,78.2,110.0,8.798,16.3,31
139,5774568359,Morning Ride,2021-08-11T06:34:57Z,Ride,31014.7,3526,3706,70.0,"[38.908363, -77.084122]",2021-08-11-103442-ELEMNT BOLT 7531-232-0.fit,182.9,200,507,82.2,42.0,8.796,12.1,21
140,5772560155,Evening Run,2021-08-10T18:41:39Z,Run,5435.5,1591,1630,70.8,"[38.908302, -77.084535]",garmin_push_7282751536,0,0,0,77.7,55.0,3.416,4.6,0
141,5772559500,Afternoon Run,2021-08-08T16:45:16Z,Run,4265.9,1320,1320,2.0,"[39.281814, -74.561353]",garmin_push_7282751006,0,0,0,77.2,16.0,3.232,3.7,0
